iter	RMSE
0	0.04589119676
1	0.04186336686
2	0.03790476958
3	0.0352890014
4	0.03217318023
5	0.029994256
6	0.02816570936
7	0.02686495372
8	0.02565353781
9	0.02469943144
10	0.02378373505
11	0.02296472571
12	0.02246607518
13	0.02195924585
14	0.0215388574
15	0.02123236237
16	0.02092657116
17	0.02070044545
18	0.02046877737
19	0.02027986862
20	0.02018642693
21	0.02004133756
22	0.01993953298
23	0.01985228189
24	0.01977452173
25	0.01970163025
26	0.01963374985
27	0.01958096946
28	0.01953249997
29	0.01949962435
30	0.01945921175
31	0.01943693101
32	0.01940829458
33	0.01938285072
34	0.01935328977
35	0.01933030168
36	0.0192999423
37	0.01926349642
38	0.01925060364
39	0.01924329529
40	0.01923414809
41	0.01922244878
42	0.01919789238
43	0.01918537507
44	0.01917577518
45	0.0191662908
46	0.01915068202
47	0.0191396426
48	0.01913840657
49	0.01912240282
50	0.01911304186
51	0.01909763698
52	0.01908741599
53	0.01907492761
54	0.01906604589
55	0.01906004066
56	0.01905461128
57	0.01904451727
58	0.01903374569
59	0.0190322661
60	0.01902263603
61	0.01901797285
62	0.01901326128
63	0.0190076835
64	0.01900313774
65	0.01899914189
66	0.01899590281
67	0.01898884732
68	0.01898115293
69	0.01897691185
70	0.01897331354
71	0.01897059967
72	0.01896728697
73	0.0189640367
74	0.0189612184
75	0.01895804816
76	0.01895681411
77	0.01895265757
78	0.01894877371
79	0.01894858856
80	0.01894565201
81	0.01894394174
82	0.01894074423
83	0.01893513909
84	0.01893158552
85	0.01892857351
86	0.01892460894
87	0.01892182393
88	0.01891756543
89	0.01891058384
90	0.01890836666
91	0.01890558005
92	0.01890536644
93	0.0189017989
94	0.01888852578
95	0.01888733582
96	0.0188856738
97	0.01888335587
98	0.01888106506
99	0.01887955752
100	0.01887808583
101	0.01887556051
102	0.01887320412
103	0.01887226897
104	0.01887004775
105	0.0188691753
106	0.01886551573
107	0.01885215328
108	0.01885056679
109	0.01884849661
110	0.01884691027
111	0.01884512694
112	0.01884387913
113	0.01884292548
114	0.01884183832
115	0.01884031316
116	0.01883871628
117	0.01883675461
118	0.01883568278
119	0.01883445704
120	0.01883215788
121	0.01883179137
122	0.01882937846
123	0.01882441161
124	0.01881483634
125	0.01881388944
126	0.01881238109
127	0.01881153468
128	0.01881014254
129	0.01880824746
130	0.01880658551
131	0.01880492294
132	0.01880246789
133	0.01880155244
134	0.01879955033
135	0.01879874186
136	0.01879759638
137	0.01879717842
138	0.01879569544
139	0.01878830192
140	0.01878776016
141	0.01878685756
142	0.01878549076
143	0.01878468034
144	0.01878347078
145	0.01878217948
146	0.01877819016
147	0.01877734954
148	0.01877623967
149	0.01877514296
150	0.01877446597
151	0.01877274821
152	0.01876856757
153	0.01876759833
154	0.01876705866
155	0.0187664448
156	0.0187650488
157	0.01876278892
158	0.01876177604
159	0.01876066801
160	0.01875541893
161	0.01875447778
162	0.01875395586
163	0.01875299996
164	0.01875209094
165	0.01875140439
166	0.01874987869
167	0.01874922637
168	0.01874790186
169	0.01874729375
